Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2023-08-06,Leeds,2,2,Cardiff
2023-08-12,Birmingham,1,0,Leeds
2023-08-18,Leeds,1,1,West Brom
2023-08-26,Ipswich,3,4,Leeds
2023-09-02,Leeds,0,0,Sheffield Wednesday
2023-09-17,Millwall,0,3,Leeds
2023-09-20,Hull City,0,0,Leeds
2023-09-23,Leeds,3,0,Watford
2023-09-30,Southampton,3,1,Leeds
2023-10-04,Leeds,1,0,QPR
2023-10-07,Leeds,2,1,Bristol City
2023-10-21,Norwich,2,3,Leeds
2023-10-25,Stoke City,1,0,Leeds
2023-10-28,Leeds,4,1,Huddersfield
2023-11-03,Leicester,0,1,Leeds
2023-11-11,Leeds,2,1,Plymouth
2023-11-24,Rotherham,1,1,Leeds
2023-11-29,Leeds,3,1,Swansea
2023-12-02,Leeds,3,2,Middlesbrough
2023-12-09,Blackburn,0,2,Leeds
2023-12-12,Sunderland,1,0,Leeds
2023-12-16,Leeds,1,1,Coventry
2023-12-23,Leeds,4,0,Ipswich
2023-12-26,Preston,2,1,Leeds
2023-12-29,West Brom,1,0,Leeds
2024-01-01,Leeds,3,0,Birmingham
2024-01-13,Cardiff,0,3,Leeds
2024-01-21,Leeds,2,1,Preston
2024-01-24,Leeds,1,0,Norwich
2024-02-02,Bristol City,0,1,Leeds
2024-02-10,Leeds,3,0,Rotherham
2024-02-13,Swansea,0,4,Leeds
2024-02-17,Plymouth,0,2,Leeds
2024-02-23,Leeds,3,1,Leicester
2024-03-02,Huddersfield,,,Leeds
2024-03-05,Leeds,,,Stoke City
2024-03-08,Sheffield Wednesday,,,Leeds
2024-03-17,Leeds,,,Millwall
2024-03-29,Watford,,,Leeds
2024-04-01,Leeds,,,Hull City
2024-04-06,Coventry,,,Leeds
2024-04-09,Leeds,,,Sunderland
2024-04-13,Leeds,,,Blackburn
2024-04-20,Middlesbrough,,,Leeds
2024-04-27,QPR,,,Leeds
2024-05-04,Leeds,,,Southampton
2023-08-12,Arsenal,2,1,Nottingham Forest
2023-08-21,Crystal Palace,0,1,Arsenal
2023-08-26,Arsenal,2,2,Fulham
2023-09-03,Arsenal,3,1,Manchester United
2023-09-17,Everton,0,1,Arsenal
2023-09-24,Arsenal,2,2,Tottenham
2023-09-30,Bournemouth,0,4,Arsenal
2023-10-08,Arsenal,1,0,Manchester City
2023-10-21,Chelsea,2,2,Arsenal
2023-10-28,Arsenal,5,0,Sheffield Utd
2023-11-04,Newcastle,1,0,Arsenal
2023-11-11,Arsenal,3,1,Burnley
2023-11-25,Brentford,0,1,Arsenal
2023-12-02,Arsenal,2,1,Wolves
2023-12-05,Luton,3,4,Arsenal
2023-12-09,Aston Villa,1,0,Arsenal
2023-12-17,Arsenal,2,0,Brighton
2023-12-23,Liverpool,1,1,Arsenal
2023-12-28,Arsenal,0,2,West Ham
2023-12-31,Fulham,2,1,Arsenal
2024-01-20,Arsenal,5,0,Crystal Palace
2024-01-30,Nottingham Forest,1,2,Arsenal
2024-02-04,Arsenal,3,1,Liverpool
2024-02-11,West Ham,0,6,Arsenal
2024-02-17,Burnley,0,5,Arsenal
2024-02-24,Arsenal,4,1,Newcastle
2024-03-04,Sheffield Utd,,,Arsenal
2024-03-09,Arsenal,,,Brentford
2024-03-16,Arsenal,,,Chelsea
2024-03-31,Manchester City,,,Arsenal
2024-04-02,Arsenal,,,Luton
2024-04-06,Brighton,,,Arsenal
2024-04-13,Arsenal,,,Aston Villa
2024-04-20,Wolves,,,Arsenal
2024-04-27,Tottenham,,,Arsenal
2024-05-04,Arsenal,,,Bournemouth
2024-05-11,Manchester United,,,Arsenal
2024-05-19,Arsenal,,,Everton
